,subject,session,task,run,space,directory,fullpath,edgefrac,hfc
47,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.24018152810711946,0.38235294117647056
48,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.2088851889288757,0.6029411764705883
49,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.23348774773140807,0.25
50,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.2032370292914725,0.6029411764705883
51,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.18865233818598898,0.16176470588235295
52,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.22195344157393176,0.04411764705882353
53,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.20121616752110455,0.29411764705882354
54,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.2172860021600306,0.27941176470588236
55,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.19072326708674034,0.1323529411764706
56,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.16190217860514358,0.23529411764705882
57,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.1469751854951974,0.22058823529411767
58,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.1700549163954664,0.27941176470588236
59,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.18050054530923743,0.19117647058823528
60,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.1830572177044189,0.19117647058823528
61,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.2213937246766884,0.04411764705882353
62,01,,SESS01,,MNI152NLin2009cAsym,sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,/LOCAL/jzerbe/auditory_vs_visual/ds003717/derivatives/melodic/sub-01/sub-01_task-SESS01_space-MNI152NLin2009cAsym_melodic,0.19894945364116115,0.38235294117647056
